ID_REF,GSM4190059,GSM4190065,GSM4190066,GSM4190068,GSM4190071,GSM4190078,GSM4190079,GSM4190080,GSM4190082
A2M,12.78558561,13.67868456,12.10886503,15.75275142,13.8023746,15.33454528,11.68159315,12.10886503,11.34178904
ABCB1,9.859458477,8.742550382,10.44402172,11.68159315,10.74637584,11.5413939,11.51571174,11.17592642,10.01009687
ABCF1,10.2508849,10.86511502,9.993066229,9.189719614,9.429981283,9.063804102,10.38853234,9.773339873,9.006494929
ABL1,9.959460357,9.773339873,9.380835365,9.22087834,8.429517928,8.880945945,9.12777082,9.036490546,9.282655168
ADA,10.16589301,8.583586579,8.577517186,8.118660168,8.692782514,8.142800535,8.612440184,8.132090592,8.860274812
ADORA2A,10.41186098,7.985923873,8.196948969,7.633800573,7.618386956,7.863218563,5.727165714,7.358713436,7.204320108
AGK,9.223070432,9.380835365,9.303184157,8.752450911,9.13387976,8.957669411,9.557742399,9.506193983,9.314248528
AICDA,3.702382975,3.825212863,4.150219411,3.72762446,3.483829652,3.812246973,4.612772809,3.825212863,3.967596465
AIRE,8.49709531,8.525260786,8.144646964,7.331781807,7.460179031,7.850180552,8.215730949,7.751398457,7.685305259
AKT3,10.56005047,8.820323195,9.76740385,9.724272107,9.449348376,8.966953429,8.712784521,9.539056061,9.326049944
ALAS1,7.692046103,9.572764186,10.90334059,10.6708669,11.03094982,11.27525845,10.16589301,12.14377682,11.0777392
ALCAM,6.047690794,8.674921176,10.12327029,10.80003033,10.29068241,9.163751781,9.693952184,10.22025013,9.993066229
AMBP,13.36300877,15.75275142,15.33454528,14.9235035,15.75275142,16.44054815,15.75275142,16.44054815,15.33454528
AMICA1,9.697918214,9.790396977,8.883525312,9.833017943,9.773339873,10.16589301,9.197772997,9.194773361,10.18302647
AMMECR1L,10.73684413,10.22025013,10.27942875,9.478792662,9.592399233,9.478792662,10.05203166,10.01009687,10.06208609
ANP32B,11.70774708,11.57622378,10.11028446,10.99691617,10.16589301,10.34277445,10.37422105,10.52223285,10.65679742
ANXA1,8.712784521,9.982375339,9.437092841,10.73684413,10.57242427,10.60971728,7.38602445,9.781598548,9.40257535
APOE,15.33454528,14.65435826,15.75275142,16.44054815,16.44054815,15.75275142,16.44054815,15.75275142,16.44054815
APP,11.68159315,10.99691617,12.29462228,12.4427271,12.14377682,11.42107664,12.05114726,10.90334059,10.01990331
ARG1,8.745245489,11.7359146,12.99489222,11.44549134,12.10886503,11.80751257,12.9231644,12.391275,10.68228926
ARG2,7.648896213,7.39138474,9.293535789,6.280948348,5.328154524,7.372360807,9.724272107,7.692046103,8.252629718
ATF1,7.663758768,9.452832552,9.099933768,8.344176299,8.703996145,7.581386965,9.670342693,8.774627538,9.4458642
ATF2,9.521238838,10.32664048,10.07152977,9.777469211,9.412541512,9.28801033,9.982375339,9.862510654,9.755919087
ATG10,8.040746245,8.172726116,8.548718255,7.963741311,8.333250409,7.987856514,8.857512086,8.542384025,8.647812078
ATG12,7.733914822,7.35207844,7.561231101,6.496818428,6.526338062,6.700598933,8.126243288,7.445595336,6.863239396
ATG16L1,10.52223285,9.993066229,9.358459913,8.705866398,9.001706086,8.731675453,9.572764186,9.303184157,9.422649829
ATG5,9.561104222,9.392829244,9.541989648,8.957669411,9.111959867,9.13387976,9.736412395,9.604057489,9.036490546
ATG7,9.236075246,9.437092841,9.023032253,9.236075246,9.303184157,9.392829244,9.242497852,9.682321395,9.194773361
ATM,9.040303687,6.992958639,7.75511313,7.103606586,6.000107683,7.656395615,7.792191597,6.257505333,6.089981384
AXL,9.548921111,8.80166959,8.894852699,9.344169744,9.506193983,9.275994207,7.733914822,8.265961588,8.950012195
BAGE,7.00106292,7.615784526,6.272948925,5.631993395,6.145747505,5.251387517,9.398337649,6.595352333,6.483621386
BATF,7.810381271,7.259981948,6.851768437,7.598401739,7.283478003,6.807743022,7.345608485,7.145319467,6.625253618
BAX,10.62209028,10.76782179,10.37422105,10.19572853,10.72001538,10.30213141,10.26213034,10.17255535,10.34277445
BCL10,10.42656825,10.0802362,10.0802362,9.855668592,9.796830767,9.938599166,10.97811082,10.37422105,10.81824678
BCL2,7.855615013,7.494897691,8.484260642,8.531159072,8.456998258,7.441886523,8.252629718,7.419642673,8.188367725
BCL2L1,12.05114726,11.34178904,10.49845654,11.19766951,10.64937064,10.29068241,11.80751257,11.70774708,11.0474582
BCL6,10.2095304,10.01009687,9.638661581,9.386742806,9.314248528,8.774627538,9.597909213,10.13454984,9.478792662
BID,7.642248077,7.07346294,6.516027102,7.393598859,7.460179031,6.953146366,8.915118559,6.625253618,8.638274971
BIRC5,11.27525845,10.44402172,9.971381506,9.561104222,8.333250409,8.440553302,10.01009687,8.933852386,9.682321395
BLK,3.276055353,4.08091841,3.67714149,4.937061447,5.270404715,3.897041924,3.617594707,4.150219411,4.170382499
BLNK,3.967596465,5.129773392,9.194773361,7.831023454,7.689133113,7.663758768,8.782984262,6.394673207,9.536122474
BMI1,8.257646281,9.211949393,9.873581926,9.613770183,9.823410146,8.742550382,10.44402172,9.965420932,9.215484135
BST1,7.985923873,8.254666411,7.838748076,8.239098371,8.203843101,8.462270292,8.809881749,8.093979861,9.027288924
BST2,9.223070432,9.034018071,10.97811082,11.12961288,11.49510384,11.7359146,10.52223285,11.7359146,11.27525845
BTK,7.028108429,7.232226351,6.754189569,7.826883281,7.422953163,7.21658156,7.770206633,7.605397443,7.490078256
BTLA,8.567752371,8.292594522,7.869504377,8.510721405,8.160329001,7.961186191,8.354381098,9.044116828,8.344176299
C1QA,9.398337649,10.73684413,9.572764186,10.83337207,10.18302647,10.95901651,9.068016343,9.842755799,9.938599166
C1QB,10.70347019,10.95901651,10.14985354,11.59853674,10.22893157,11.51571174,8.612440184,10.32664048,9.823410146
C1QBP,11.19766951,11.5413939,10.76782179,10.43529498,10.07152977,10.77891356,11.03920401,10.42656825,10.52223285
C1R,8.488039571,11.88133891,14.42240893,13.22134834,12.85426195,13.67868456,13.8023746,13.05000727,11.97459186
C1S,8.614562773,11.70774708,13.87475092,13.36300877,12.9231644,13.47346253,13.22134834,13.47346253,12.05114726
C2,9.928523222,12.29462228,12.4427271,10.91941446,12.4427271,11.68159315,13.13313361,11.68159315,12.54218813
C3,11.01400126,11.65049586,14.9235035,13.97839053,15.33454528,13.22134834,12.99489222,14.42240893,14.9235035
C3AR1,7.985923873,8.482481489,8.035833512,8.446947651,8.35876657,8.643870974,8.354381098,8.312372658,7.75511313
C4B,12.9231644,13.97839053,13.8023746,14.20277655,13.13313361,12.85426195,13.58387453,13.67868456,13.97839053
C4BPA,8.395258851,8.860274812,12.85426195,12.63820875,12.69274229,12.99489222,11.49510384,14.9235035,13.87475092
C5,11.47025424,8.944144148,11.57622378,11.03094982,10.99691617,11.47025424,12.54218813,11.03094982,12.48016955
C6,9.329577109,8.564997875,13.36300877,9.189719614,11.83672428,11.08864468,12.78558561,11.30411302,12.5961492
C7,6.102441036,6.475726672,8.023783907,10.5472852,10.87955928,8.866705267,8.790679538,6.184601312,7.618386956
C8A,8.203843101,8.126243288,10.23712629,9.044116828,11.10580396,10.42656825,11.03920401,11.51571174,10.57242427
C8B,7.573281131,9.242497852,12.02478334,9.582301057,11.97459186,12.10886503,11.57622378,11.77554511,12.4427271
C8G,6.581770677,10.59381062,11.3209348,9.796830767,11.51571174,11.17592642,11.77554511,11.44549134,13.05000727
C9,8.674921176,8.420666121,13.47346253,10.5120467,10.41921461,11.94090831,11.7359146,9.165692219,12.69274229
CAMP,8.599798071,6.540493985,7.494897691,6.762095459,6.775103554,7.633800573,6.595352333,7.398744772,6.130766139
CARD11,8.816872411,7.510587974,7.404721572,7.977229491,7.717057744,7.863218563,6.595352333,7.430568728,6.334851504
CARD9,7.761154436,7.470506387,7.02277609,6.845475937,6.823952225,7.204320108,6.294694527,7.028108429,6.953146366
CASP1,7.34124641,8.315532186,8.449043594,8.702125891,8.784770412,9.072228584,8.252629718,8.561700859,8.829677942
CASP10,8.687498989,8.371697779,7.78517468,7.687219186,7.637505744,7.685305259,8.2725823,8.333250409,8.333250409
CASP3,8.479018783,9.211949393,9.256964736,8.843508191,8.963382147,8.342116413,8.930822747,9.478792662,9.161153237
CASP8,9.604057489,9.638661581,9.613770183,9.493076344,9.959460357,9.541989648,9.197772997,9.806821438,9.891644702
CC2D1B,7.554066194,7.865145484,7.494897691,7.78517468,7.525490476,7.815560757,8.900452529,7.958631071,8.235422119
CCL1,8.001291711,7.789959748,6.886767175,7.103606586,7.694959093,7.467407138,7.770206633,7.208767732,7.685305259
CCL11,7.867324931,8.378911074,7.474814358,7.598401739,7.779364304,7.607493997,8.031402696,8.00561246,8.220642815
CCL13,6.812094966,7.374878841,7.393598859,7.298577168,7.349970559,7.250712993,7.213215356,7.289261488,7.372360807
CCL14,7.73757935,8.462270292,9.095156358,9.371494204,9.176168402,9.406813051,9.634404303,8.473448975,8.422810885
CCL15,8.067273418,9.194773361,10.38853234,8.140134608,9.597909213,9.215484135,10.9377498,9.12777082,11.12961288
CCL16,8.745245489,10.41186098,9.673969563,9.656009836,11.70774708,11.62409744,12.14377682,10.101207,11.01400126
CCL17,8.446947651,7.058413715,6.918966841,6.585780314,7.439685032,7.155659982,7.694959093,6.565691687,6.526338062
CCL18,7.761154436,8.378911074,9.275994207,10.40207421,7.843343153,10.70347019,8.72894982,7.863218563,7.966849395
CCL19,9.484165839,7.891937288,9.143175425,9.912841997,10.73684413,9.781598548,8.674921176,7.898477416,7.049990459
CCL2,8.077385908,8.833573191,8.796362326,8.848023332,9.714679171,8.662970546,7.939463509,8.031402696,9.572764186
CCL20,8.85474936,12.10886503,9.689986154,10.95901651,9.398337649,8.992781935,8.534038949,8.900452529,10.87955928
CCL21,8.737016271,7.605397443,8.635249075,9.62368639,10.80003033,9.928523222,9.76740385,6.803238816,6.762095459
CCL22,8.512483401,7.833785678,5.868685462,6.294694527,7.703293496,6.546870068,7.733914822,7.411371756,6.429375048
CCL23,5.699436971,7.494897691,5.563249981,5.463492013,6.942815104,5.713983513,7.808229883,5.89971157,6.87450956
CCL24,2.562175122,2.882611895,2.349687561,2.349687561,2.774662683,3.72762446,3.483829652,2.349687561,3.047905216
CCL25,6.375660584,6.820199568,10.101207,6.496818428,12.99489222,7.326666306,6.823952225,6.953146366,8.098295833
CCL26,9.506193983,7.88554341,7.946272052,7.369842774,7.758133783,7.502649071,7.213215356,8.312372658,7.028108429
CCL27,6.483621386,6.420728503,5.563249981,4.8594501,5.594139875,5.434804717,5.937482809,6.130766139,6.429375048
CCL28,4.399760333,4.08091841,4.224836005,3.95749544,7.091666564,3.371364915,4.612772809,4.150219411,6.301114785
CCL3,10.72001538,9.478792662,9.62368639,9.036490546,9.260967318,9.993066229,9.111959867,8.975056709,9.13082529
CCL3L1,8.787724975,9.086794146,9.481479251,9.12357325,8.747940597,10.07152977,8.745245489,8.427236788,9.015613595
CCL4,9.682321395,9.673969563,9.20841465,9.452832552,8.912480315,9.833017943,8.944144148,9.139593148,9.982375339
CCL5,7.963741311,8.92295585,8.40218602,9.068016343,9.200772632,10.52223285,8.252629718,8.023783907,7.974772864
CCL7,3.702382975,4.280123657,4.097577038,3.431876385,3.647368099,4.113275313,3.371364915,4.294074357,4.113275313
CCL8,7.507852748,8.064831002,7.720596522,7.525490476,7.200130645,8.018607172,7.733914822,7.941737216,8.118660168
