symbol,SRR8281228,SRR8281222,SRR8281218,SRR8281220,SRR8281249,SRR8281236,SRR8281247,SRR8281230,SRR8281232,SRR8281246,SRR8281245,SRR8281251,SRR8281238,SRR8281239,SRR8281241
LRP4,2134,5961,4428,4722,1529,1796,1851,5224,1148,1564,564,4803,1141,2444,3278
MTURN,5251,36303,23719,14988,12143,4093,2852,3063,11103,7315,304,21376,25261,26278,25331
REPIN1,2970,4020,2095,3972,2618,4200,5250,4087,3059,3898,3117,3265,1197,3443,2048
RARRES1,604,36,61,45,27,189,67,28,207,1720,15,8,51,124,37
ZNF423,565,833,513,762,274,306,362,175,792,349,20,495,153,285,499
ARID5B,2025,1095,991,1219,1344,2019,3388,2269,1522,1768,911,1473,1005,733,1010
CENPB,3646,4854,2438,3226,4881,3875,4031,4799,3497,4737,3989,4896,3580,5314,2840
MORF4L2,4318,4951,5282,3612,4349,4678,6625,3953,4410,4750,5698,4439,2754,3989,3473
CSNK1A1,3098,2525,2096,2618,955,3866,3917,2692,2283,2858,3552,2488,1400,2389,2013
EVI5L,1180,2996,1655,1548,1099,1906,1055,1109,1184,1427,998,3485,1031,1594,1994
H2BC15,20,52,25,54,28,37,149,46,105,35,8,20,7,68,23
TTI2,195,208,123,179,122,113,193,143,177,174,129,188,98,140,125
RNF7,1095,1185,1035,1162,2026,1047,1299,806,1252,1378,2023,1078,828,1039,819
CHAF1A,333,844,243,341,238,972,320,487,235,501,483,457,218,258,209
GIMAP4,1003,808,837,1039,716,867,601,495,1256,773,2263,573,716,1213,791
NPC2,6533,3545,2345,3661,5055,4011,4297,1455,7379,6348,8464,3517,4973,6189,3030
F11R,824,188,292,427,190,412,271,496,654,602,540,247,267,565,297
RXRA,2696,2878,1955,2204,1951,1983,2607,2844,3417,2859,1788,2788,1178,1887,1777
HSPB6,2826,195,258,1056,427,913,3436,1470,931,771,9,130,324,1155,400
FGFR1OP2,1158,1228,1471,1122,1022,996,892,1192,1154,1126,966,795,870,1327,1285
ABCA3,2709,4950,3401,3687,5874,5990,4157,3013,1956,3555,3932,6073,1275,2062,3140
LTBP1,2734,860,778,2479,497,1973,6830,1872,2116,3707,1253,396,702,899,1691
RNF32,27,67,63,53,65,24,65,77,92,52,15,16,32,59,32
NCEH1,649,345,1422,1103,215,453,1296,367,526,751,1679,352,288,612,1105
TMEM94,3005,4175,3813,3974,2813,3871,2321,3847,2734,2675,1689,3699,1273,2820,3500
RUNX3,223,174,48,105,94,100,148,122,244,80,689,121,320,273,175
RBM15B,1189,1687,856,1184,975,1646,2092,1597,1287,1811,1147,1516,750,1034,1029
LZIC,1051,1362,1129,965,1106,837,1236,1538,1418,1204,488,921,778,1292,1161
GPR157,97,30,23,110,33,9,284,123,109,111,30,8,25,116,48
VHL,1007,1943,1017,1161,1150,1270,1107,1205,1197,1444,889,1105,716,1077,1024
GORASP1,1435,1675,1876,1895,1142,1394,1261,1922,2709,1518,747,1671,802,1971,1855
TSTD1,410,47,215,132,56,263,591,406,43,303,102,35,121,297,174
DCTN6,573,1291,1031,828,709,484,712,557,701,867,508,943,617,746,803
TMEM88,68,135,60,152,107,48,38,35,127,29,19,128,112,81,14
POLD4,790,583,393,615,608,490,716,284,565,790,1186,539,436,620,347
ARHGEF5,42,32,15,18,14,33,11,3,26,34,28,26,53,65,58
NOL8,874,1097,631,710,1161,1530,1356,1135,784,774,605,794,422,900,624
CIAO2B,1240,1662,1174,1243,1605,1307,1990,1106,1353,1878,1656,1483,1097,1297,1030
COL27A1,734,477,812,1115,4006,489,1081,1234,1188,1019,778,385,385,1479,604
PPP1R26,811,1589,1091,908,513,1113,817,860,578,1138,452,444,411,651,957
PDCD2L,134,124,102,114,204,161,65,223,106,140,58,84,60,82,87
TDRP,265,711,615,740,826,472,325,978,586,667,201,740,246,405,489
TP53,1069,1339,480,1193,1371,1226,373,1254,775,1536,921,1246,433,760,501
FOXO3,2891,2692,2226,1895,822,1640,1569,4434,1958,1794,1250,2089,1073,1533,1812
TM2D1,588,652,799,737,408,669,800,1086,584,843,405,402,452,495,572
EIF3C,159,222,169,169,111,228,222,173,133,191,215,127,133,150,158
COA3,660,1012,1123,844,1036,620,693,563,868,709,700,1087,538,732,748
PIK3C2A,1666,1510,2905,3239,649,1832,6434,3086,2421,1522,1287,1793,1097,2166,3545
LMO7,345,270,1074,544,188,240,191,362,475,341,316,228,219,147,690
LTV1,337,439,312,388,326,449,720,428,416,429,241,350,274,423,298
TESK1,944,793,772,927,1099,559,1232,909,913,864,506,1219,648,859,871
RBBP6,1445,2192,1293,1866,1732,2054,2056,2440,1211,2000,1275,1679,933,1503,1232
LSM7,725,1001,393,568,1942,1321,927,1425,503,1220,902,1390,487,439,418
NDUFB3,980,880,1153,1043,795,888,1000,683,1023,821,833,905,657,927,855
GNAI1,664,2783,1745,1040,602,281,700,98,1047,805,348,1481,1675,1543,2109
INPP5F,1312,2044,3637,1461,1312,724,1026,550,1085,2497,2842,1256,1306,1486,2202
COL4A4,556,386,59,324,52,49,327,179,553,127,24,78,26,66,137
CALM2,11813,17490,22791,13206,8698,16485,10431,9572,13883,12745,9989,10666,10265,13355,14943
PIK3CA,1055,1501,944,869,899,950,1027,788,783,822,2064,1266,404,633,784
MRPL18,763,1175,699,831,804,792,1556,697,981,938,607,888,632,859,598
SDCBP2,226,85,310,278,127,210,107,194,125,155,302,84,73,318,143
SORBS2,511,420,1658,854,113,462,34,174,778,370,55,284,333,335,1170
TBK1,728,903,734,766,631,830,802,601,817,896,924,715,495,866,665
EIF1AX,1582,3163,2432,1753,1394,3078,1874,2396,2127,2158,1628,1946,1783,2136,2634
GPATCH4,793,785,859,641,638,756,827,720,657,739,409,813,430,719,752
NSF,1111,1484,6864,2186,551,982,1196,951,1589,879,964,1226,773,851,3630
MEX3D,698,892,317,424,483,1166,966,769,564,935,601,1090,392,560,394
YEATS2,1468,2365,1474,1429,1458,1806,1929,1896,1164,1555,2041,1734,756,1178,1427
PRDM15,334,367,201,265,321,436,415,559,238,340,333,240,118,273,272
RUSC1,1175,851,1866,1211,855,1174,1428,1122,917,1065,820,1079,471,724,1329
PIGW,221,231,136,177,141,297,406,241,185,237,139,147,67,138,160
SLC24A1,356,253,281,361,238,330,516,375,271,176,341,190,219,321,268
FTSJ3,1134,1414,714,1347,993,1440,1552,1441,1116,1329,1074,1454,559,969,747
IGFBP6,2589,249,278,300,1108,226,1108,47,844,1051,7651,197,183,126,223
CYB561D2,482,472,196,359,372,439,1232,337,428,550,401,331,301,490,333
