index,GSM1648114,GSM1648115,GSM1648116,GSM1648117,GSM1648118,GSM1648119,GSM1648120,GSM1648121,GSM1648122,GSM1648123,GSM1648124
7A5,6.7446,7.9412,7.7383,7.4817,9.0212,6.8251,8.3225,8.9606,7.5212,6.5477,6.6975
A1BG,6.8141,6.6769,6.7002,6.6412,6.6413,6.3659,6.6188,6.9326,6.952,6.6977,6.5846
A1CF,24.3235,22.7879,20.1224,23.1642,18.9661,18.778100000000002,19.4507,24.3603,18.5442,19.215700000000002,19.2549
A26C3,6.5466,6.1541,6.4759,6.3562,6.5931,6.0547,6.2291,6.4423,6.4103,11.0816,6.2521
A2BP1,25.992800000000003,25.1313,24.8506,25.7584,24.7549,24.101300000000002,25.7367,25.6389,24.3536,33.9903,25.7704
A2LD1,8.5794,8.6477,6.7394,7.7658,8.4886,6.8442,7.3561,7.1447,7.0441,7.6753,7.7172
A2M,12.9295,12.3693,12.7729,12.8403,12.7874,12.9283,12.8992,12.2113,12.2838,12.4859,12.088
A2ML1,7.5581,5.9962,6.1499,6.3677,6.2043,5.9595,6.2839,6.2951,6.066,6.2291,6.21
A3GALT2,13.0627,12.2417,12.4301,12.880099999999999,12.599599999999999,12.234300000000001,12.8377,13.4734,12.3351,12.650099999999998,12.798200000000001
A4GALT,11.7468,11.1965,10.1692,10.3832,11.1008,10.9783,10.1001,10.5572,10.7016,10.8408,9.0719
A4GNT,6.5514,6.3571,6.397,6.773,6.5823,6.1866,6.8023,6.7422,6.3176,6.5946,6.4724
AAA1,33.0041,31.2114,31.2748,33.6301,31.7147,31.238799999999998,32.729,32.661500000000004,31.8162,32.0257,31.7134
AAAS,10.0897,9.9471,9.6246,9.3878,10.1184,9.7406,9.6508,9.986,9.8967,9.9344,8.5557
AACS,10.3677,9.6899,9.86,10.2763,9.829,9.6487,10.2939,9.5352,9.68,10.3186,10.1523
AADAC,6.6207,6.0932,6.4126,6.4859,6.1853,6.2967,6.377,6.6584,6.3081,6.4692,6.395
AADACL1,17.9601,19.0922,15.9617,16.4479,18.5925,18.14,20.0549,16.9296,17.9307,16.7763,16.5147
AADACL2,6.4724,6.1951,6.2867,6.4324,6.2151,6.0502,6.3911,6.5482,6.2546,6.3471,6.3375
AADACL4,6.6654,6.3762,6.1804,6.601,6.1399,6.1471,6.4944,6.4049,6.2371,6.5033,6.2382
AADAT,21.0649,23.5243,22.905700000000003,21.4571,20.564799999999998,20.7955,19.5385,23.7715,21.155,23.4939,22.538800000000002
AAGAB,12.7159,11.3132,11.3989,12.3046,12.0803,11.3562,11.6345,12.0435,11.8823,11.6534,11.6551
AAK1,18.113,17.3947,17.9795,16.4026,18.277,17.1284,16.5809,16.811700000000002,18.0319,17.6312,17.2649
AAMP,9.5829,8.8334,9.4515,9.8863,9.3612,9.303,9.2934,9.3743,9.1988,9.0596,9.2685
AANAT,6.5907,6.0923,6.0656,6.4635,6.1435,6.1121,6.4778,6.346,6.0631,6.3438,6.1701
AARS,13.7099,13.4323,12.658,13.1158,13.374,13.0901,12.8444,12.8672,13.0967,13.1375,13.4776
AARS2,10.962,11.0288,10.861,10.8096,11.026,10.8144,10.8563,10.7859,10.7709,11.2451,10.8574
AARSD1,10.3154,9.9634,10.0749,10.1356,10.5197,10.2869,9.7279,10.5443,9.6979,10.353,10.0894
AASDH,9.7141,9.2539,9.3955,9.5325,10.0485,9.0197,9.8204,8.526,9.6745,9.7526,10.5031
AASDHPPT,8.3264,9.2611,8.8437,8.3231,9.3275,8.7252,9.5105,7.5908,8.6203,7.8822,9.2337
AASS,15.2237,15.705400000000001,16.398,16.5656,15.5241,16.1659,16.1967,17.0502,15.200000000000001,15.9475,16.6206
AATF,11.6513,11.6609,10.7852,12.4215,11.6528,11.4975,11.3309,12.2832,11.8924,11.6707,12.1243
AATK,14.8167,13.4241,15.156300000000002,16.0417,14.1205,13.7477,14.574,17.0652,14.0302,14.4585,14.3951
ABAT,26.6361,23.7092,23.6263,22.4798,24.5328,23.637,23.4137,23.5113,24.686300000000003,24.869,24.8121
ABCA1,12.8659,11.8708,11.6843,12.4717,12.151,11.7403,12.5586,11.9737,11.8508,12.3734,12.037
ABCA10,15.7701,14.148399999999999,15.408000000000001,15.396799999999999,14.8514,16.3746,15.533,14.7368,14.1862,15.745000000000001,14.6471
ABCA11,6.494,6.5392,6.8124,7.0007,7.3893,6.5686,6.8284,6.5766,6.4893,6.8563,6.7486
ABCA12,13.4506,13.8546,16.1549,16.7943,15.498899999999999,14.056000000000001,17.0638,13.7011,13.2147,12.446,13.77
ABCA13,6.3851,6.1152,6.08,6.593,6.0463,5.9596,6.2252,6.2204,6.1004,6.2952,6.3655
ABCA2,13.9709,15.254100000000001,16.4767,15.661999999999999,16.1114,15.7575,15.0476,17.4829,17.913400000000003,14.4757,15.7225
ABCA3,11.6008,11.6723,10.6307,10.9776,10.1245,11.0842,11.3793,11.1068,11.1789,10.0996,12.0355
ABCA4,6.8839,7.1259,6.5952,6.5065,8.5612,6.3024,6.4369,7.1121,6.5288,7.1247,6.539
ABCA5,26.7557,23.9635,24.2041,22.8757,24.011000000000003,22.7219,23.8938,25.9375,21.6527,24.4773,22.817
ABCA6,13.839300000000001,16.078699999999998,16.4148,15.7607,19.1786,19.6915,15.9353,15.5853,14.817799999999998,18.859499999999997,16.5929
ABCA7,22.4598,21.6533,22.2904,21.2068,22.997,19.3739,21.8967,23.8023,24.0342,23.4163,23.8737
ABCA8,17.456200000000003,15.9169,16.173299999999998,17.6252,13.2004,18.787,14.956100000000001,14.5962,16.2008,19.8178,18.2326
ABCA9,14.978,15.306,14.901,13.9652,17.0879,18.261200000000002,14.5354,16.2714,15.054,16.081400000000002,14.6508
ABCB1,13.181799999999999,16.7017,17.054,12.8464,16.8448,15.4855,14.3107,15.6524,15.2869,13.298300000000001,12.939599999999999
ABCB10,9.0647,8.9695,9.6969,9.7377,9.6734,9.2127,10.3719,8.8364,9.1297,9.334,10.0928
