index,Pt1-baseline,Pt2-baseline,Pt3-baseline,Pt4-baseline,Pt5-baseline,Pt6-baseline,Pt8-baseline,Pt9-baseline,Pt10-baseline,Pt15-baseline,Pt16-baseline,Pt17-baseline,Pt18-baseline,Pt19-baseline,Pt20-baseline,Pt23-baseline,Pt24-baseline
A1BG,8.357535,6.608285,7.361295,5.07461,12.44225,4.1861,9.517875,7.15442,14.78075,4.19489,0.961216667,3.040353333,4.30049,4.79717,6.86738,5.068135,9.797385
A1CF,0.019939775,0.00176512,0.00414138,0.0,0.0,0.0,0.0020851,0.004562865,0.0,0.00369392,0.0,0.002555753,0.0,0.0,0.011267495,0.002163005,0.0
A2M,68.91065,95.60515,170.235,499.7505,239.425,94.29576667,65.50485,118.447,105.8045,57.8829,287.8216667,245.5846667,223.559,510.123,441.767,896.7805,63.06725
A2ML1,0.1849635,0.0037642,12.98945,2.16222,1.895395,0.0221989,25.45205,0.00505895,20.51535,0.0155221,0.0,0.0162257,0.173604,0.03019045,0.0080409,0.02213455,0.0
A2MP1,0.07308335,0.03699055,1.579495,0.5799555,0.0,0.026732367,0.11819625,0.11649375,0.0,0.02904295,0.0,0.017926733,0.0,0.2627075,0.04097205,0.0152348,0.02986605
A3GALT2,0.0651805,0.0,0.0288303,0.237948,0.0,0.0,0.02004635,0.167625,0.0,0.0,0.043522667,0.0,0.0,0.0258289,0.166993,0.0,0.0
A4GALT,0.816478,2.366695,1.45038,8.187095,12.3242,10.41102,2.261875,1.836745,8.45455,0.6243835,14.69153333,2.132556667,4.76189,4.861585,4.23932,6.11679,6.34565
A4GNT,0.0213666,0.0447582,0.0321047,0.04221735,0.0,0.009558267,0.01813735,0.0237867,0.01890175,0.0764845,0.0,0.013029233,0.0331806,0.01180545,0.34636,0.010076,0.0
AAAS,23.7863,27.34065,20.09505,24.10265,44.1101,20.15483333,36.33295,29.39675,36.2873,14.2346,28.8795,17.83146667,32.6378,18.3344,26.6617,27.5766,17.32315
AACS,3.43582,1.76758,14.14255,8.469955,9.864455,4.34556,14.29275,6.60902,21.90995,2.99718,6.208706667,5.014246667,5.79252,2.759805,10.89765,8.24786,8.709535
AACSP1,0.0,0.0,0.01730895,0.2487555,0.0,0.007472133,1.85456,0.2881145,0.3291625,0.412678,0.0,0.0,0.0,0.0,0.03982395,0.0,0.0185036
AADAC,0.04707015,0.0203841,1.0441905,0.1921395,0.3346085,0.0103157,0.8166775,0.01347945,0.668638,0.02180745,0.0,0.0898522,0.0,0.472499,0.0232161,0.0,0.02236055
AADACL2,0.0662815,0.0,6.144475,1.218425,0.323771,0.0,17.2173,0.0,4.363195,0.07071,0.0,0.0,0.0,0.01565515,0.04564405,0.0,0.0
AADACL3,0.004741795,0.0,0.0,0.6896645,0.0,0.0,0.0,0.0,0.319094,0.00828045,0.0,0.0,0.0,0.00509615,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.1326115,0.0,0.0,0.00776935,0.0,0.04797405,0.0,0.0,0.0,0.0,0.0,0.01872205,0.0,0.0531809
AADAT,1.70547,2.5451,4.14194,3.00759,0.6870555,6.43855,2.57731,10.9838,1.922585,0.8706215,1.129093333,2.02098,1.34162,2.076675,16.7014,0.636324,4.083005
AAED1,9.561135,8.82147,7.842785,9.847325,2.67964,3.032783333,4.077955,2.56588,6.555525,8.08702,7.935426667,9.286503333,6.10846,9.836365,13.1085,3.100435,11.1436
AAGAB,17.7646,13.96355,16.4696,17.7702,14.99665,16.88553333,16.74805,21.17325,14.49675,15.2218,21.72116667,25.0542,16.165,20.89625,12.56215,10.7742,10.8206
