index,GSM496016,GSM496019,GSM496020,GSM496021,GSM496023,GSM496032,GSM496036,GSM496037,GSM496040,GSM496041,GSM496042,GSM496043
A1BG,-0.6680174,0.07353413,-0.13306332,0.43688112,-0.22741818,-0.47046816,0.2934962,-0.17413007,-0.017334409,-0.5750214,0.037126016,-0.38555476
A1BG-AS1,0.18697809,1.0520546,-1.0619407,0.048147317,-0.032204103,-0.44060564,0.84415436,0.6638189,-0.42550784,-0.27980894,0.34017268,-0.5916736
A1CF,1.26505402,1.04119318,-0.29389438,1.51071642,-0.43343951,0.31835997899999996,-1.61711443,-0.011799220999999999,-1.9688267,-4.0033731,-0.004883782999999999,1.85865565
A2M,0.5580410499999999,1.07270692,-0.40990508000000003,0.12884234000000003,0.39739230999999997,-0.26778899,0.449770362,1.5729866000000001,-0.68787605,-0.220456616,0.30207629999999996,-0.240232957
A2M-AS1,0.2678277,-0.26148394,-0.10204461,0.023524819,-0.40716928,0.42036104,0.23174512,0.6293096,-0.5790802,0.23627488,0.0603038,0.30650258
A2ML1,0.22203716,-3.2753285,-1.63076024,-0.84025712,0.9812905599999999,-1.9403492,0.20552587000000003,-1.06828678,1.1644933000000002,-0.27374058,-1.05211028,0.14730229
A2MP1,-0.35170558,0.08801569,-0.94472134,0.7916738,-0.40284246,1.1460893,0.42769966,-0.06022129,0.033476204,-0.23830146,0.7077542,1.1957296
A4GALT,-0.13462675,-0.41888013,0.01237971,-0.7068965,0.442474,-0.45926088,0.10319529,0.56717414,-0.5217076,0.5576967,-0.80578536,-0.09436187
A4GNT,0.6645001,-0.19746368,-0.039543755,0.3124702,-0.019729855,0.4400657,0.006802141,0.8497932,-0.7400108,0.2525459,-0.006848787,-0.3455807
AA06,-0.12550953,-1.6598693,0.3405134,0.20750621,0.5038463,0.25444165,0.023627978,0.16428477,-0.14806303,-2.6036217,-1.1862442,-0.8354315
AAAS,-0.52694416,0.36981502,0.43907687,-0.36231968,0.037906677,0.7955309,-0.16489047,0.063843526,-0.12682542,-0.23179221,-0.014904212,0.15563993
AACS,-0.40264863,0.26957655,0.5640608,0.105594315,-0.32146364,0.25923026,-0.26146325,-0.6508309,-0.5724993,0.15488504,-0.22645184,-0.15312959
AACSP1,0.7946628,-0.53423375,-1.4362006,0.5550868,-0.7578621,-1.3321221,-0.57828695,0.89672726,0.72710836,-0.9525618,1.2260557,-1.1839356
AADAC,0.34499004,-0.47816625,-0.6318128,0.03511225,0.12182416,0.22483641,0.23797867,0.33535945,2.3136313,-0.17802306,-1.6483684,-0.11713187
AADACL2,-0.030913875,0.7244687,-0.7986117,0.42717528,0.48959175,0.73203504,0.6526375,0.12593836,-1.2753711,-0.25515434,-0.7394047,-1.3287109
AADACP1,0.39051053,0.4728639,-1.9309927,0.13603857,-0.49059856,0.013826661,-1.3325244,-0.012306045,1.1877955,-1.6758813,0.041679095,0.8631564
AADAT,0.25207376,-0.07387778,-0.020460237,-0.022335889,-0.16065298,-0.32042333,-0.98769075,-0.64935523,0.9338607,0.7308108,0.3346459,-0.5059083
AAED1,-0.12929998,-0.046002015,0.25267357,-0.060575347,0.13780954,-0.47168237,-0.055239066,0.34419537,0.6724033,0.5265273,-0.25232053,-0.2907688
AAGAB,-0.9442173199999999,0.05853322999999999,-1.31679595,0.6306787920000001,0.05884573000000001,0.8226267880000001,1.00858481,-1.34564894,1.1300940499999999,-0.08290924399999997,-1.60601325,-0.6858195429999999
AAK1,-0.21929046399999996,-1.2782500860000001,-2.36470095,-2.949869875,3.0225276599999997,-2.364320245,-1.37674041,1.0746878000000002,-2.6417169100000004,-6.525784229999999,-3.5274304599999997,-1.539883117
AAMDC,0.550287386,-1.4867941800000002,-1.233834465,0.03128232,-2.1067121060000003,-0.527080275,0.410652921,1.236389668,-1.68703476,0.44192535000000005,-2.134446819,1.175845696
AAMP,-0.101516485,-0.000137,0.011981778,0.108103484,0.34275037,0.42762986,0.056538712,-0.2535955,0.000137,0.34489414,-0.1613869,-0.03633369
AANAT,-0.43763533,0.80824286,-1.0129515,1.9092066,-0.71006215,-0.003164405,1.1617011,0.24399988,0.15912054,-0.25748795,0.8787101,-0.468964
AAR2,-0.15649611,-0.32134554,-0.31213665,0.025330765,-0.29169843,0.2597907,0.25809717,-0.002893099,-0.22625475,-0.18859808,-0.4033855,0.05334646
AARS,-0.002900392,-0.21899265,0.460862,-0.12371682,-0.024955148,0.18351676,0.20099717,-0.30054915,0.04352882,0.09119727,-0.23336685,-0.46819806
AARS2,0.43405351999999997,-0.7195597,-2.1831259000000003,0.11600489000000003,-0.96849838,-0.267327998,0.22223916000000002,0.93188282,0.64400362,-0.43784248000000003,-1.13596942,-1.5611039
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,-0.11071077,-0.20050061,-0.36711702,-0.16072382,-0.56913334,-0.003340214,0.14024134,0.04966099,-0.36288404,0.26978883,-0.5435766,-0.31948304
AASDH,0.25920131,0.071260719,0.329931823,0.44423182,-1.2381307700000002,0.045828850000000004,0.89386486,-0.052147285999999994,0.48394336,0.8304289460000001,-0.28424662700000003,-0.088116044
AASDHPPT,0.06043986600000001,-0.5982376970000001,-0.14602187,-1.347094185,0.06865599000000011,2.14315664,0.59779421,-0.704185327,-0.752445177,-0.32355572999999993,1.10699668,-0.29012997999999995
AASS,-0.799626283,-0.459225153,-0.093670037,0.77705499,1.17062637,1.90647396,0.004893910000000001,1.20327506,-4.13410086,0.53728042,-2.2067854999999996,-0.47313849999999996
AATF,-0.1836822,-0.21293798,-0.269714,-0.12777466,0.18388876,0.30620477,0.54109734,-0.08131913,-0.55659497,0.23917353,-0.35552916,-0.49142903
AATK,-0.13389167,0.123596236,-0.018106801,-0.28910214,0.5103398,0.49501464,0.002832451,0.26820263,0.22930576,0.5207428,-0.010627755,-0.3793648
AB074162 /// MIR181A2HG,-1.6522555,-0.5928543,-0.8332686,-1.2761313,0.78583395,1.2339743,1.5545256,-0.8645195,1.68576,0.26593158,-0.4267448,-1.8596753
AB488780,-0.1266472,0.08916585,0.35567167,0.004520673,-0.6190184,-0.11777833,0.035853196,-0.02981369,0.11009737,0.27283114,-0.085627906,-0.16232657
ABAT,-0.9097291240000001,-0.63545005,0.691626272,5.4455241,-0.58274387,0.18162050999999999,-2.8565125,1.58273865,-3.22154124,-0.34427315000000003,-3.22217954,0.80669049
ABCA1,2.2498921340000004,2.3419756749999996,-3.1101569099999997,1.505555292,1.323807968,-2.5822827900000003,0.6305842600000001,2.1444399339999998,-3.3126661,2.02954607,0.15932259800000004,0.631249972
ABCA11P,0.16595224,0.5586228,-0.34825355,0.48883033,-0.47474536,0.23044382,0.020710757,0.37010735,0.45063737,-0.4808048,-0.08164543,0.13545011
ABCA12,-0.343589,-0.6305376,-0.51029617,1.209954,0.19443952,0.1320313,-0.04270879,-0.15676408,-0.5190225,-1.0922848,-0.86267823,-0.7827895
ABCA13,0.39085895000000004,1.81159715,-6.346297100000001,-4.2088107,1.84058975,1.409812444,0.02771710000000005,1.90468246,-4.01686902,-0.874996394,-1.7355565800000001,-0.45851911
ABCA17P,0.17956944,-0.51863027,-0.45619747,-0.4220904,0.35665503,0.55840814,-0.75209457,0.900505,0.22947977,-0.862829,-1.1411322,0.2567626
ABCA2,-1.0197386,-1.23702886,-2.77759291,-1.4529909300000001,0.38749407,-0.8623424410000001,-0.6650742000000001,0.51014545,-0.593371363,-1.200638236,-0.68694995,-2.14754356
ABCA3,-1.7233474,0.7954518,-0.5019694,-0.4273611,0.41257107,-0.5678557,-1.3263459,0.96800935,-0.07198833,-1.1150527,-2.2696943,0.41219482
ABCA4,-0.37526740000000003,-0.05282629999999999,0.7746263,-1.9906897,0.80989863,-0.339716124,-0.993415967,0.8834423,0.98566652,-1.0036239,-1.7367484100000001,0.86099634
ABCA5,-0.140416025,1.26208052,-2.0963791,1.3011259000000002,0.35973807,-0.252308216,-1.65742511,1.3100181,-0.7405776000000001,-0.53380209,-0.9049553,0.58611122
ABCA6,-0.4308698,1.0046381,-2.8452673,0.7523159,-0.15388499,0.4044837,0.53323156,-0.6140441,0.02744944,0.06299321,0.048402898,0.72263604
ABCA7,-0.5456773,0.03767343,-0.12856956,-0.36756763,0.95600295,0.5488082,-0.26754457,0.20062222,0.08595492,0.028685736,-0.1289916,-0.005378139
ABCA8,0.2887254830000001,0.5327048999999999,-1.4751892999999998,1.9210382300000002,1.960252136,-0.9868649,0.2557784799999999,0.12658199999999986,1.79166084,0.3804692,1.78488115,0.322551394
ABCA9,-1.25691248,0.38966553,-2.943066,-2.3273476,1.71392152,0.6045281550000001,0.96201088,2.1696990400000002,-3.4253306300000004,-4.4251806,-3.4472464700000005,0.551826089
ABCB1,-0.8849161600000001,-0.2066578,-1.4712553000000002,1.3924870200000001,2.16160474,2.7259035999999996,1.0944621799999998,-1.0430868,0.16224191799999998,2.3891418,-0.93482629,1.2484434
ABCB1 /// ABCB4,-0.948075,0.11046869,-0.81259185,0.8246427,0.91679347,1.4262348,0.7468445,-0.45344117,0.19588031,1.186041,-0.71389645,0.40854827
ABCB10,-0.056116015,0.13879368,0.29130092,-0.001451651,-0.4096896,0.37013707,0.3000662,-0.001300405,0.22918189,0.3604144,-0.47312328,0.07108371
ABCB11,-0.45531711,1.0708992999999998,-2.3455959,-0.47161017,-0.276561156,0.4361528,-0.2880592700000001,1.78215824,0.49979916000000013,-1.8799445,-0.59743945,3.110037
