index,GSM1282761,GSM1282762,GSM1282763,GSM1282764,GSM1282765,GSM1282766,GSM1282767,GSM1282768,GSM1282769,GSM1282770,GSM1282771,GSM1282772,GSM1282773,GSM1282774,GSM1282775,GSM1282776,GSM1282777,GSM1282778
7A5,1814.167103,1734.108996,1154.667197,675.256602,1284.305983,638.210704,385.7803223,496.8408429,877.7916099,1026.047181,885.3102198,1121.936984,1329.093853,1309.472218,1042.76481,837.3015062,1172.302251,1174.798501
A1BG,231.7974432,145.0679802,95.68542646,150.0192501,83.90153276,430.4755099,88.57962229,86.12759686,31.75719967,75.57970393,77.41654371,97.50041245,59.11883653,172.4421726,58.31330236,71.35812959,84.58931386,88.53095092
A1CF,2206.970472,1555.772793,1423.952627,2182.735069,1271.120061,1347.570572,1860.307985,1198.169589,2054.234853,972.8999366,1861.872926,1514.529438,1540.689796,2085.719378,1712.551445,1385.810328,1388.430877,1672.492654
A26A1,100.3438961,49.6214028,3.368373984,47.55560331,2.206654139,65.84731233,18.46220073,62.65304704,3.415678073,64.91506074,20.1299767,89.69739823,36.04619334,62.27600043,58.20340423,135.4492889,68.97082774,7.814897412
A26B1,246.0012786,224.859646,349.6460046,362.7359508,116.5491566,1085.836318,100.2235478,303.2882076,320.9713305,41.18698103,197.9980471,153.0603386,276.1535739,701.6368868,243.1279434,288.9027989,105.00874,78.43558524
A26C3,43.5361001,37.2141082,16.35110915,92.55297933,38.10475823,94.27861478,37.36491746,60.50248406,49.82941427,125.0132498,275.5351899,49.73386339,32.90480696,43.00671073,28.27284805,39.78933237,41.11757547,41.39773058
A2BP1,609.9227363,1076.323637,830.2695449,2255.732741,386.8975463,2475.97164,404.777862,2456.758548,759.3489963,419.3707044,262.9338013,627.128218,1011.638775,2172.49291,721.306585,826.0554068,608.1916707,566.8323884
A2M,1490.08515,951.4474121,2689.422593,1577.361264,2449.427892,1899.216004,1730.417747,1997.108658,2277.502179,1870.693786,2181.741928,2807.641104,2640.572252,2547.572015,2092.811634,2168.151062,2503.988096,2152.207004
A2ML1,1.018668414,215.6301609,50.89296228,165.2452357,1.424607111,498.7525142,285.3388596,113.1732904,225.5281919,1.162454919,13.00580368,304.0399224,1.085795263,280.0053662,117.3305305,250.5695846,58.0160362,88.63447005
A3GALT2,83.28472607,19.87303947,30.59329027,1.057594042,242.2444422,440.4326666,1.114790884,1.154908114,11.84723164,1.114393684,7.7971941,1.092944868,53.69687184,1.274068201,1.206146951,1.228390167,5.446339206,1.006752405
