index,MGHCC1573,MGHCC1006,MGHCC0007,MGHCC0001-B,MGHCC1002,MGHCC1101,MGHCC0001-A,MGHCC1009,MGHCC1099,MGHCC1108,MGHCC1112,MGHCC0002
5S_rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7SK,79.102885,119.484644,29.20073,289.499512,72.336533,102.131761,78.159512,106.54424,15.366589,37.687247,7.592846,47.863292
A1BG,3.692068,12.219789,5.244981999999999,16.058122,3.934363,29.848579,8.297467000000001,8.139790999999999,2.846844,0.846405,0.474817,0.0
A1BG-AS1,1.852651,5.6510880000000006,4.449109,2.265452,1.120185,38.191581,3.597637,1.779128,0.719673,2.596002,2.26261,6.647587
A1CF,0.0,0.0,0.0,0.0,0.0,0.237342,0.0,0.078447,0.0,0.0,1.172928,0.0
A2M,103.952666,54.633693,187.525738,42.855178,81.74502100000001,35.415302,91.71872100000002,51.534758,66.410263,135.49539099999998,12.393943,92.343933
A2M-AS1,0.062778,0.553908,0.250049,0.153051,0.684612,2.253149,0.6991,0.339779,1.006046,4.389276,3.68463,5.630533
A2ML1,0.004157,0.388003,0.009841,0.0,0.081893,0.0,0.038096,0.997031,0.579375,0.133321,0.5001880000000001,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2MP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A3GALT2,0.0,0.0,0.0,0.0,0.0,0.100932,0.0,0.0,0.030122,0.075238,0.0,0.0
A4GALT,2.388809,1.964254,0.896423,3.670574,3.787754,11.408054,4.612704,4.533267,1.584447,4.401202,1.105539,4.078104
A4GNT,0.0,0.0,0.019787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AA06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,29.626954,41.261624000000005,32.294069,39.898016,22.742851,58.578779,35.638639,30.052684,36.770044,45.357236,4.823579,69.133621
AACS,13.188747,18.495081,9.976216,22.894451,6.822203,18.969022,13.191414,10.671388,7.267517000000001,5.425186,5.00878,64.936355
AACSP1,0.0,0.015581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133777,0.0
AADAC,0.0,0.483675,0.107719,0.188161,0.0,0.0,0.0,1.565245,0.142148,0.0,1.687124,0.094469
AADACL2,0.0,0.0,0.0,0.0,0.0,0.0,0.015037,1.794175,0.019687,0.0,0.0,0.0
AADACL2-AS1,0.0,0.145763,0.0,0.0,0.0,0.0,0.069002,0.0,0.0,0.0,0.0,0.0
AADACL3,0.006071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040972,0.0,0.0,0.0,0.0
AADACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,2.177028,2.415316,0.619413,2.457922,1.550503,6.670685000000001,3.055164,6.018829,3.378729,1.495942,3.887314,8.742434
AAGAB,35.349359,19.029981,36.498061,18.276465,19.715052,32.013128,25.714995,38.206926,5.569438000000001,40.404575,7.466072,20.918766
AAK1,28.980606,30.861382,38.043198,23.923472,22.021588,18.904478,32.643616,25.971114,16.101243,45.587674,20.515788,26.030489
AAMDC,15.550567,46.554037,19.744134000000003,12.28572,3.229149,191.606787,12.234072,5.113224000000001,27.017577,19.653994,6.750188,6.581572
AAMP,59.217266,57.335369,53.316012,57.331104,22.92845,53.484679,42.42317,59.628549,42.436981,53.275401,10.829319,18.551383
AANAT,0.060641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149467,0.0,0.0
AAR2,10.550309,14.118818,5.18224,12.451474,9.41641,11.38153,11.17514,50.864682,12.278506,11.35692,3.011238,6.077169
AARD,0.545604,0.6690119999999999,4.818242,1.124351,1.388749,3.703862,0.451156,3.664773,0.144886,0.061342,0.0,0.521721
AARS1,20.4526,31.639267,31.203118,92.821722,15.232067,57.314686,41.213734,57.84217,25.152647,26.784464,21.150908,15.169924000000002
AARS1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,3.602447,7.059083,2.417104,3.0646720000000003,4.172913,3.960322,3.632028,2.940638,5.336123,5.112222,2.698008,7.645863
AARSD1,23.258171,21.693315,19.299908,14.417995,12.862162,33.669391,12.359834,26.814937,17.2743,19.001073,4.162967999999999,19.317735
AARSD1P1,0.020803,0.0,0.0,0.0,0.0,0.0,0.0,0.028641,0.050983,0.0,0.0,0.0
AASDH,17.286455,16.318118,25.571707,9.471202,5.465503,7.428738,8.321052,15.942899999999998,19.199602,19.337852,3.004459,6.984778
AASDHPPT,16.579318999999998,10.199496,7.868777,11.244522,6.489016,9.658601,10.424159,13.928836,14.732383,23.143342,3.934706,10.212372
AASS,9.355717,8.741457,3.0542930000000004,5.556608000000001,5.477873,7.778486999999999,9.11006,7.796345,45.936604,17.68625,1.007551,7.276802
AATBC,0.0,0.0,0.0,0.0,0.0,0.01966,0.0,0.0,0.0,0.0,0.0,0.0
AATF,50.110646,30.537309,23.799506,24.00715,14.344895,52.714771000000006,21.530967,39.3408,26.71944,44.372274,18.434073,42.130994
AATK,0.602396,0.058566,0.08202,0.193377,4.432368,1.297737,0.023762,0.1487669999999999,0.284833,3.051876,6.203947,1.536671
