index,GSM227413,GSM227414,GSM227415,GSM227416,GSM227417,GSM227418,GSM227419,GSM227420,GSM227421,GSM227422,GSM227423,GSM227424,GSM227425,GSM227426,GSM227427,GSM227428,GSM227429,GSM227430,GSM227431,GSM227432,GSM227433,GSM227434,GSM227435,GSM227436,GSM227437,GSM227438,GSM227439,GSM227440,GSM227441,GSM227442,GSM227443,GSM227444,GSM227445,GSM227446
A1CF,331.95,319.2,421.8,451.6,269.15,430.0,351.7,226.7,596.9,286.6,579.4,414.75,473.85,491.6,384.6,387.4,909.7,539.2,442.8,323.4,252.8,235.8,313.4,436.0,390.8,529.6,348.0,322.6,358.1,416.6,339.5,571.4,391.3,298.6
A2M,42.0,80.2,152.2,113.0,212.5,169.6,18.4,126.75,86.0,138.9,28.9,116.5,119.0,180.1,260.5,30.6,154.7,942.2,2968.2,165.7,111.0,113.1,106.7,125.0,516.5,24.2,412.7,142.0,919.8,18.8,182.9,209.6,243.6,121.2
A4GALT,99.55,114.5,135.1,218.8,105.45,177.9,211.4,119.85,200.9,111.5,118.3,190.95,137.5,194.5,245.3,124.7,187.9,233.4,168.4,155.6,124.3,176.3,95.1,112.9,171.1,147.3,185.8,80.5,262.1,134.9,145.4,329.5,141.9,118.5
A4GNT,296.15,86.9,203.2,44.7,145.75,304.5,78.2,81.1,183.9,75.0,63.5,121.5,329.2,88.1,210.8,126.0,106.2,290.1,123.5,131.0,116.9,31.4,22.9,215.0,313.4,274.7,234.2,99.0,96.1,292.8,198.6,431.0,381.7,285.0
AAAS,64.65,52.4,103.3,140.7,70.45,50.7,57.7,42.05,77.5,61.8,209.1,38.9,78.4,55.9,162.9,111.5,87.8,22.2,48.1,87.0,81.8,45.7,96.9,86.4,42.4,36.0,48.7,169.1,376.1,37.4,36.7,126.0,71.8,22.6
AACS,551.5,546.3,408.4,326.0,525.35,317.0,525.3,429.35,318.4,468.7,286.5,320.8,513.2,752.5,1061.5,429.8,677.5,580.3,628.7,623.9,312.2,1099.4,700.2,457.6,218.2,1160.2,584.9,679.2,395.8,615.0,614.6,608.8,594.7,255.8
AADAC,103.2,92.9,21.3,21.1,79.05,35.7,124.6,62.8,26.9,124.9,199.2,123.5,29.0,45.1,137.4,37.8,55.8,81.2,48.4,76.4,27.1,14.4,117.7,17.8,27.7,51.6,27.7,83.5,79.6,54.5,26.9,53.8,23.1,39.9
AAGAB,115.15,612.9,538.2,514.4,339.2,236.3,623.8000000000001,405.35,454.0,813.8,670.6,562.4499999999999,520.4,576.1,407.2,614.0,774.2,667.9000000000001,785.6,1710.6000000000001,812.9000000000001,1179.9,1240.0,427.0,584.1,427.8,616.6,455.0,421.7,592.0999999999999,612.5,314.3,407.1,458.6
AAK1,694.55,672.5,1052.5,995.5,1131.0,1196.0,1312.0999999999997,950.45,1253.7000000000003,1445.2000000000003,2043.8000000000002,1424.1999999999998,2286.2999999999997,1643.8,1242.7,844.3,4684.299999999999,2798.1000000000004,1306.9999999999998,1614.4,1280.7000000000003,1693.4,1109.4,1945.1,3981.3999999999996,2595.5,3094.8999999999996,1290.5,1895.7,7793.999999999999,3317.8,2622.5,1239.1,2280.6000000000004
AAMDC,1483.6999999999998,1300.5,622.7,423.1,844.2,1207.0,1089.9,835.4000000000001,698.3,432.7,619.7,1009.8000000000001,445.8,709.2,478.1,518.9,953.8,647.9000000000001,551.3,455.1,845.2,463.6,1583.7,921.2,766.0,1018.2,484.30000000000007,827.3000000000001,623.1,556.5,391.0,666.1000000000001,639.7,525.8
AAMP,418.45,362.5,407.0,313.3,377.2,421.9,489.9,498.0,669.8,699.6,653.4,834.75,413.85,637.2,1274.6,629.5,620.0,877.0,889.3,821.7,772.8,558.1,639.7,813.4,730.9,686.6,720.4,1030.3,932.6,787.1,732.9,964.0,410.1,614.5
