index,GSM1050643,GSM1050644,GSM1050645,GSM1050646,GSM1050647,GSM1050648,GSM1050649,GSM1050650,GSM1050651,GSM1050652,GSM1050653,GSM1050654,GSM1050655,GSM1050656,GSM1050657,GSM1050658,GSM1050659,GSM1050660,GSM1050661,GSM1050662,GSM1050663,GSM1050664,GSM1050665,GSM1050666,GSM1050667
A1CF,6.881728,6.548433,6.028411,6.291142,5.713312,6.305446,6.514467,5.818988,6.188007,6.047931,6.01285,6.104824,6.225825,5.884139,6.234491,6.303644,6.669154,6.261914,6.102772,6.372901,6.178135,6.31641,5.658289,5.992525,5.647195
A2M,7.564603,7.253889,6.939166,6.745984,7.367817,6.878804,7.607736,7.768839,8.160154,7.077648,6.645864,6.53488,6.896634,8.508123,6.201334,7.385656,8.172917,6.826405,6.747298,7.055599,7.458199,6.757117,8.724141,8.826353,7.017764
A4GALT,5.371691,4.926198,4.956898,5.311224,4.874347,5.254407,4.517331,5.002208,4.733625,5.010934,5.434356,5.229881,5.054937,4.938098,5.215166,5.0323,5.301662,5.206212,5.336323,5.124643,5.19353,5.268357,4.976514,4.889358,4.829
A4GNT,6.42818,6.073951,5.858421,5.921477,5.697917,5.945914,6.024287,5.958451,6.182175,5.975074,5.87739,5.841704,6.007454,5.831038,5.876394,5.978513,6.151763,5.901202,5.877732,6.012902,5.948985,5.809665,5.851243,6.076654,5.764643
AAAS,7.450829,7.126417,7.181547,7.379371,7.189729,7.383064,7.383064,7.395207,7.251577,7.710547,7.796246,7.36836,7.351643,7.228315,7.604201,7.388062,7.765318,7.539035,7.493501,7.57079,7.492555,7.244458,7.248118,7.268698,7.151732
AACS,6.485889,6.533952,8.833102,6.744368,7.930063,6.522336,6.939253,8.172725,6.97943,8.893775,6.888949,7.113524,8.371155,7.102695,8.695709,6.299091,5.720549,8.156514,8.061968,6.805376,6.97904,7.17158,7.974698,7.463636,8.296628
AADAC,5.274339,5.120397,4.417765,4.523925,4.431016,4.641286,4.775455,4.520219,4.728979,4.755913,4.555269,4.469477,4.83586,4.456966,4.612027,4.674854,4.632608,4.807274,4.722901,4.875495,4.614205,4.51611,4.76659,5.02931,4.89955
AAGAB,13.345778,12.537692,13.294385,13.265156000000001,13.226212,11.990198,12.318863,13.715974,13.042711,12.140883,13.095848,13.668061999999999,12.393132999999999,12.39671,12.336732999999999,13.608985,11.975757999999999,13.039591000000001,12.795605,13.130494,13.989409,13.180824999999999,13.085477999999998,12.720784,12.828372
AAK1,29.190699,26.243266000000002,26.089932,26.221066,25.641903,27.693343,28.442686999999996,26.765008,27.340122,26.724038999999998,27.229337,25.990491,27.216391999999995,26.744307,26.139098,27.271918,27.517281999999998,27.195833,27.178275,26.505942,26.890005000000002,26.578865,26.380868000000003,27.296419,24.870528999999998
AAMDC,16.226819,16.30905,16.271960999999997,16.792152,16.278444,16.509839999999997,15.898978,17.111552,20.064266,18.607613,15.735643,15.097116,16.35046,17.160139,16.979913,15.583732,15.816281,15.525224,15.351509,16.275595,16.050056,16.370347,16.174335,16.247619,15.441892
AAMP,8.098773,7.916035,8.038935,8.483413,8.247284,8.013935,7.955223,7.686858,8.034794,8.326394,8.41098,8.294307,8.559434,8.682214,8.257859,8.059466,8.160992,8.275171,8.235789,8.328315,8.052956,8.039002,8.140589,7.830864,8.761782
AANAT,5.464149,4.639723,4.712514,5.004979,4.599129,4.997606,4.370759,4.620168,4.926009,4.699912,4.873692,4.662722,4.629355,4.868418,5.02156,4.760222,5.473896,5.020516,5.015518,4.76266,4.752825,4.883242,4.549722,4.658855,4.638342
AAR2,7.364679,7.417834,7.30307,7.320917,8.137702,7.565224,7.130526,7.357132,7.291981,7.846673,7.439068,7.928294,7.488907,7.327966,7.423856,7.720773,7.101411,7.338873,7.589374,8.118515,7.45314,7.526229,7.764285,7.554461,7.414053
AARS,8.015843,8.797137,8.579994,8.576445,8.928847,8.365463,8.496676,8.480614,8.818729,9.369309,8.925958,9.49507,8.431968,8.406053,9.944815,9.211871,8.246529,9.074723,9.064095,8.655182,8.239456,8.614912,8.691373,8.493903,9.456881
AARSD1 /// PTGES3L /// PTGES3L-AARSD1,5.859124,5.308886,5.560698,6.266232,5.461261,5.48971,5.469135,5.614303,4.897864,5.750707,5.344321,5.807237,4.972701,5.094902,5.388545,5.455688,5.459052,5.543715,5.469809,5.843255,5.541057,5.476837,5.55069,6.182784,4.71976
AASDHPPT,10.466114000000001,13.215679,13.838511,13.246044999999999,16.836243000000003,11.408187999999999,12.317624,14.007837,12.468699,11.121794000000001,11.522933,13.468599,12.79522,11.943054,11.242798,12.31244,11.300189,12.352913000000001,13.535827,13.28959,12.914543,13.085878000000001,13.135121999999999,13.033469,13.590179
AASS,8.155533,7.549006,7.319826,7.38605,7.50625,7.67958,8.060032,7.424753000000001,7.9989729999999994,7.531307999999999,7.694891,7.499548000000001,7.414513,7.408985,7.3776779999999995,7.611838,7.429535,7.529128,7.364122,7.60985,7.572413,7.580031,7.699625,7.861448,7.2611799999999995
AATF,7.135882,6.639222,7.236263,7.03126,7.387663,7.132971,8.71555,7.581767,7.281114,7.568994,7.066352,7.414911,7.31172,7.284955,8.746628,7.321877,7.278097,8.786324,7.224264,7.332911,7.422943,7.339496,8.515641,7.458147,8.507803
AATK,7.229487,7.047465,6.650405,6.899927,6.618357,7.244658,6.999459,6.970527,6.967139,6.8399,6.97187,6.657266,6.839896,6.845681,6.583358,6.925535,7.165157,6.917033,6.881348,6.842401,6.774329,7.025905,6.603669,6.655307,6.414043
ABAT,13.562207,12.958379,13.8453,14.708025,15.689443,13.635328000000001,13.315655000000001,14.023626,13.302032,13.176238,17.313662,17.784174,12.608951999999999,13.882566,14.753456,14.301849,13.571910999999998,14.662769,13.761701,13.398593000000002,14.520086000000001,14.417141,14.063358999999998,14.331779999999998,13.231866
ABCA1,16.412123,17.372231,15.79608,16.965194,16.177830999999998,16.382111000000002,18.774423,19.214571,17.57592,16.000144,17.42965,17.628008,17.253492,18.230083,15.992567000000001,16.66959,17.485004,15.971243000000001,17.925379,16.606828,16.214921,18.183372,15.96706,16.942577,17.846777
ABCA11P,4.155169,4.336135,4.146377,4.030004,4.151583,4.21004,4.361172,3.787589,4.393968,3.873604,4.042164,4.114346,4.192696,3.9206,4.105641,4.013992,4.161562,4.181139,4.073079,4.242095,4.378573,4.164908,4.07613,4.055555,4.143708
ABCA12,3.838622,4.043841,4.434938,4.266322,4.121902,4.38628,4.31229,3.878834,3.975147,4.44169,3.634564,5.503236,5.68016,4.022972,3.874888,3.836107,4.024681,3.895741,3.936433,3.773552,5.354494,3.935636,3.675385,3.813067,3.669284
ABCA2,17.144016999999998,15.877288,15.622975,16.294992,15.296848,16.113149,15.024761999999999,15.444775,15.261753,16.123731,15.971429,16.021921,15.94014,15.367359,15.981209,16.579882,16.342861,15.811201,15.805244,16.277677,16.014601,15.923561,15.186340000000001,15.824834,15.943971000000001
ABCA3,6.615159,6.11077,7.395171,6.214088,6.050386,6.044501,6.123542,7.755121,6.10344,6.22344,6.91411,4.966555,7.613515,6.303625,6.647638,7.032568,5.926434,5.773357,5.490641,6.329314,5.852611,5.802454,6.447484,6.504332,5.238782
ABCA4,5.663849,5.417302,5.311442,5.032379,5.002583,5.259626,5.265577,5.052993,5.155349,5.286821,5.170307,5.34089,5.40162,5.056483,5.406167,5.491894,5.425811,5.32826,5.362479,5.169898,5.163398,5.351452,5.088581,5.506782,4.995135
ABCA5,4.49753,4.630747,4.299607,4.306336,4.532774,4.490452,4.618962,4.354477,4.417862,4.571725,4.623526,4.299902,4.726409,4.485222,4.457621,4.156997,4.504237,4.107628,4.439489,4.370457,4.60693,4.482751,4.473435,4.375551,4.063545
ABCA6,4.297149,4.132583,3.966027,4.044545,3.683702,4.024531,4.827112,4.041848,4.149462,3.926017,4.079067,3.935229,4.085899,3.850834,4.033085,3.923635,3.920423,3.948388,4.040739,4.09981,3.827205,4.104868,4.019918,4.098883,3.78221
ABCA7,6.061939,5.327496,6.314701,5.417129,5.798914,5.965764,5.188664,5.317939,4.84232,5.519509,5.767122,5.300641,5.458441,5.596574,5.270438,5.690537,5.635033,5.49289,5.660251,5.347762,5.772506,5.681097,5.316595,5.426235,5.192294
ABCA8,3.911969,3.600857,3.274078,3.634802,3.527845,3.696461,3.958196,3.530217,3.683105,3.572155,3.776566,3.535791,3.551825,3.521854,3.505223,3.512895,3.580209,3.58981,3.559824,3.528979,3.721085,3.582768,3.68972,3.610164,3.471127
ABCB1,4.256258,4.104087,3.903509,4.022362,3.867276,4.117724,4.183119,3.772514,4.195206,3.98061,3.953115,3.945006,3.966986,3.890158,4.004099,3.961519,4.032169,4.069718,3.977007,3.988859,3.745763,4.136613,4.054763,4.251906,3.765772
ABCB1 /// ABCB4,4.075239,3.849755,3.608911,3.856689,3.718307,4.093074,3.869113,3.644944,3.552484,3.663252,4.007223,3.789633,3.780181,4.152613,4.332971,3.908534,4.216696,3.905898,3.800409,3.820355,3.963839,3.981914,4.010487,3.995041,3.772477
